Package name,Severity,Affected version,Discloded date,Published date,FirstAffectedRelease_Date,FirstFixedRelease_Date,Disclosed VS First Affected,Published VS Disclosed
collective.tablepage,M,"[,0.3)",10/18/2013,10/18/2013,9/19/2013,10/18/2013,1,0
comet,M,"[1.1.0,1.2.2)",4/20/2015,4/20/2015,2/28/2014,4/20/2015,14,0
cryptography,M,"[,1.1)",10/9/2015,10/9/2015,9/1/2014,10/28/2015,13,0
cryptography,M,"[,1.5.2)",1/11/2016,1/11/2016,10/1/2014,9/26/2016,15,0
dateable.chronos,M,"[,0.8)",3/21/2012,3/21/2012,10/7/2008,4/8/2012,41,0
django,M,"[,1.1.3), [1.2,1.2.4)",12/22/2010,12/22/2010,5/17/2010,12/23/2010,7,0
django,M,"[,1.1.3), [1.2,1.2.4)",12/22/2010,12/22/2010,5/17/2010,12/23/2010,7,0
django,M,"[,1.1.4), [1.2,1.2.5)",8/2/2011,8/2/2011,5/17/2010,9/2/2011,15,0
django,H,"[,1.1.4), [1.2,1.2.5)",8/2/2011,8/2/2011,5/17/2010,9/2/2011,15,0
django,M,"[,1.1.4), [1.2,1.2.5)",8/2/2011,8/2/2011,5/17/2010,9/2/2011,15,0
django,M,"[,1.2.7), [1.3,1.3.1)",11/9/2011,11/9/2011,5/17/2010,10/9/2011,18,0
django,M,"[,1.2.7), [1.3,1.3.1)",11/9/2011,11/9/2011,5/17/2010,10/9/2011,18,0
django,L,"[,1.2.7), [1.3,1.3.1)",11/9/2011,11/9/2011,5/17/2010,10/9/2011,18,0
django,M,"[,1.2.7), [1.3,1.3.1)",11/9/2011,11/9/2011,5/17/2010,10/9/2011,18,0
django,M,"[,1.2.7), [1.3,1.3.1)",11/9/2011,11/9/2011,5/17/2010,10/9/2011,18,0
django,M,"[,1.2.7), [1.3,1.3.1)",11/9/2011,11/9/2011,5/17/2010,10/9/2011,18,0
django,M,"[,1.3.2), [1.4,1.4.1)",6/30/2012,6/30/2012,5/17/2010,7/30/2012,25,0
django,M,"[,1.3.2), [1.4,1.4.1)",6/30/2012,6/30/2012,5/17/2010,7/30/2012,25,0
django,M,"[,1.3.2), [1.4,1.4.1)",6/30/2012,6/30/2012,5/17/2010,7/30/2012,25,0
django,M,"[,1.3.4), [1.4,1.4.2)",10/17/2012,10/17/2012,5/17/2010,10/17/2012,29,0
django,M,"[,1.3.6), [1.4,1.4.4)",9/30/2016,9/30/2016,5/17/2010,2/19/2013,76,0
django,M,"[,1.3.6), [1.4,1.4.4)",3/21/2013,3/21/2013,5/17/2010,2/19/2013,34,0
django,M,"[,1.3.6), [1.4,1.4.4)",3/21/2013,3/21/2013,5/17/2010,2/19/2013,34,0
django,L,"[,1.3.6), [1.4,1.4.4)",3/21/2013,3/21/2013,5/17/2010,2/19/2013,34,0
django,M,"[,1.4.13), [1.5,1.5.8), [1.6,1.6.5)",5/14/2014,5/14/2014,5/17/2010,5/14/2014,48,0
django,M,"[,1.4.13), [1.5,1.5.8), [1.6,1.6.5)",5/14/2014,5/14/2014,5/17/2010,5/14/2014,48,0
django,H,"[,1.4.14), [1.5,1.5.9), [1.6,1.6.6)",5/14/2014,5/14/2014,5/17/2010,8/20/2014,48,0
django,L,"[,1.4.14), [1.5,1.5.9), [1.6,1.6.6)",8/20/2014,8/20/2014,5/17/2010,8/20/2014,51,0
django,M,"[,1.4.14), [1.5,1.5.9), [1.6,1.6.6)",8/20/2014,8/20/2014,5/17/2010,8/20/2014,51,0
django,M,"[,1.4.14), [1.5,1.5.9), [1.6,1.6.6)",8/20/2014,8/20/2014,5/17/2010,8/20/2014,51,0
django,M,"[,1.4.18), [1.5,1.6.10), [1.7,1.7.3)",1/13/2015,1/13/2015,5/17/2010,1/13/2015,56,0
django,M,"[,1.4.18), [1.5,1.6.10), [1.7,1.7.3)",1/13/2015,1/13/2015,5/17/2010,1/13/2015,56,0
django,M,"[,1.4.18), [1.5,1.6.10), [1.7,1.7.3)",1/13/2015,1/13/2015,5/17/2010,1/13/2015,56,0
django,M,"[,1.4.18), [1.5,1.6.10), [1.7,1.7.3)",1/13/2015,1/13/2015,5/17/2010,1/13/2015,56,0
django,M,"[,1.4.20), [1.5,1.6.11), [1.7,1.7.7)",3/18/2015,3/18/2015,5/17/2010,3/18/2015,58,0
django,M,"[,1.4.20), [1.5,1.6.11), [1.7,1.7.7)",3/18/2015,3/18/2015,5/17/2010,3/18/2015,58,0
django,M,"[,1.4.21), [1.5,1.7.9), [1.8,1.8.3)",8/7/2015,8/7/2015,5/17/2010,8/7/2015,63,0
django,M,"[,1.4.21), [1.5,1.7.9), [1.8,1.8.3)",8/7/2015,8/7/2015,5/17/2010,8/7/2015,63,0
django,M,"[,1.4.22), [1.5,1.7.10), [1.8,1.8.4)",8/18/2015,8/18/2015,5/17/2010,8/18/2015,63,0
django,M,"[,1.4.22), [1.5,1.7.10), [1.8,1.8.4)",8/18/2015,8/18/2015,5/17/2010,8/18/2015,63,0
django,M,"[,1.4.6), [1.5,1.5.2)",8/13/2013,8/13/2013,5/17/2010,8/13/2013,39,0
django,M,"[,1.4.6), [1.5,1.5.2)",8/13/2013,8/13/2013,5/17/2010,8/13/2013,39,0
django,M,"[,1.4.7), [1.5,1.5.3)",11/14/2013,11/14/2013,5/17/2010,11/9/2013,42,0
django,M,"[,1.4.8), [1.5,1.5.4)",9/15/2013,9/15/2013,5/17/2010,9/15/2013,40,0
django,M,"[,1.7.11), [1.8,1.8.7)",11/24/2015,11/24/2015,5/17/2010,11/24/2015,66,0
django,M,"[,1.8.10), [1.9,1.9.3)",1/3/2016,1/3/2016,5/17/2010,1/3/2016,68,0
django,L,"[,1.8.10), [1.9,1.9.3)",1/3/2016,1/3/2016,5/17/2010,1/3/2016,68,0
django,M,"[,1.8.14), [1.9,1.9.8)",7/18/2016,7/18/2016,5/17/2010,7/18/2016,74,0
django,M,"[,1.8.15), [1.9,1.9.10)",9/26/2016,9/26/2016,5/17/2010,9/26/2016,76,0
django,H,"[,1.8.16), [1.9,1.9.11), [1.10,1.10.3)",2/11/2016,2/11/2016,5/17/2010,1/11/2016,69,0
django,H,"[,1.8.16), [1.9,1.9.11), [1.10,1.10.3)",1/11/2016,1/11/2016,5/17/2010,1/11/2016,68,0
django,M,"[,1.8.18), [1.9,1.9.13), [1.10,1.10.7)",5/4/2017,5/4/2017,5/17/2010,4/4/2017,84,0
django,M,"[,1.8.18), [1.9,1.9.13), [1.10,1.10.7)",5/4/2017,5/4/2017,5/17/2010,4/4/2017,84,0
django,M,"[1.2,1.2.2)",9/9/2010,9/9/2010,5/17/2010,9/9/2010,4,0
django,M,"[1.7,1.7.6)",9/3/2015,9/3/2015,2/9/2014,9/3/2015,19,0
django,M,"[1.8,1.8.2)",5/20/2015,5/20/2015,1/4/2015,5/20/2015,5,0
django,H,"[1.8,1.8.3)",8/7/2015,8/7/2015,1/4/2015,8/7/2015,7,0
django,M,"[1.9,1.9.2)",1/2/2016,1/2/2016,1/12/2015,1/2/2016,12,0
django-cms,M,"[3.1,3.1.1)",6/27/2015,6/27/2015,3/26/2015,6/27/2015,3,0
django-markupfield,M,"[,1.3.2]",4/20/2015,4/20/2015,6/29/2009,4/21/2015,70,0
django-tastypie,H,"[,0.9.10]",10/28/2011,10/28/2011,2/19/2011,9/12/2011,8,0
djblets,M,"[,1.6.19), [,0.7.15)",10/10/2013,10/10/2013,6/14/2009,5/26/2013,52,0
djblets,M,"[0.8,0.8.2]",6/6/2014,6/6/2014,5/20/2014,6/6/2014,1,0
